"","EVTYPE","yr","outcomes","totalamount"
"503","HAIL",1996,"INJURIES",82
"504","HIGH WINDS",1996,"INJURIES",113
"505","FLOOD",1996,"INJURIES",63
"506","EXTREME TEMPERATURE",1996,"INJURIES",89
"507","OTHER",1996,"INJURIES",170
"508","MARINE SQUALL",1996,"INJURIES",66
"509","FIRE",1996,"INJURIES",33
"510","DROUGHT",1996,"INJURIES",0
"511","HURRICANE",1996,"INJURIES",16
"512","STORM",1997,"INJURIES",794
"513","TORNADO",1997,"INJURIES",1033
"514","HAIL",1997,"INJURIES",5
"515","EXTREME TEMPERATURE",1997,"INJURIES",361
"516","FLOOD",1997,"INJURIES",519
"517","WINTER WEATHER",1997,"INJURIES",616
"518","HIGH WINDS",1997,"INJURIES",122
"519","MARINE SQUALL",1997,"INJURIES",41
"520","HURRICANE",1997,"INJURIES",0
"521","OTHER",1997,"INJURIES",109
"522","DROUGHT",1997,"INJURIES",2
"523","FIRE",1997,"INJURIES",7
"524","HAIL",1998,"INJURIES",45
"525","STORM",1998,"INJURIES",1238
"526","FLOOD",1998,"INJURIES",6439
"527","WINTER WEATHER",1998,"INJURIES",296
"528","HIGH WINDS",1998,"INJURIES",99
"529","TORNADO",1998,"INJURIES",1875
"530","MARINE SQUALL",1998,"INJURIES",22
"531","EXTREME TEMPERATURE",1998,"INJURIES",660
"532","OTHER",1998,"INJURIES",385
"533","DROUGHT",1998,"INJURIES",0
"534","HURRICANE",1998,"INJURIES",9
"535","FIRE",1998,"INJURIES",92
"536","STORM",1999,"INJURIES",622
"537","HAIL",1999,"INJURIES",46
"538","HIGH WINDS",1999,"INJURIES",148
"539","EXTREME TEMPERATURE",1999,"INJURIES",1353
"540","MARINE SQUALL",1999,"INJURIES",58
"541","FLOOD",1999,"INJURIES",289
"542","WINTER WEATHER",1999,"INJURIES",405
"543","OTHER",1999,"INJURIES",105
"544","TORNADO",1999,"INJURIES",1842
"545","DROUGHT",1999,"INJURIES",0
"546","FIRE",1999,"INJURIES",127
"547","HURRICANE",1999,"INJURIES",4
"548","STORM",2000,"INJURIES",713
"549","HAIL",2000,"INJURIES",57
"550","FLOOD",2000,"INJURIES",38
"551","TORNADO",2000,"INJURIES",882
"552","HIGH WINDS",2000,"INJURIES",172
"553","WINTER WEATHER",2000,"INJURIES",182
"554","OTHER",2000,"INJURIES",144
"555","MARINE SQUALL",2000,"INJURIES",22
"556","EXTREME TEMPERATURE",2000,"INJURIES",468
"557","DROUGHT",2000,"INJURIES",0
"558","FIRE",2000,"INJURIES",100
"559","HURRICANE",2000,"INJURIES",0
"560","STORM",2001,"INJURIES",725
"561","HAIL",2001,"INJURIES",32
"562","TORNADO",2001,"INJURIES",743
"563","FLOOD",2001,"INJURIES",269
"564","HIGH WINDS",2001,"INJURIES",95
"565","FIRE",2001,"INJURIES",47
"566","WINTER WEATHER",2001,"INJURIES",174
"567","EXTREME TEMPERATURE",2001,"INJURIES",445
"568","MARINE SQUALL",2001,"INJURIES",83
"569","OTHER",2001,"INJURIES",83
"570","DROUGHT",2001,"INJURIES",1
"571","HURRICANE",2001,"INJURIES",0
"572","HAIL",2002,"INJURIES",125
"573","STORM",2002,"INJURIES",581
"574","EXTREME TEMPERATURE",2002,"INJURIES",378
"575","FLOOD",2002,"INJURIES",75
"576","WINTER WEATHER",2002,"INJURIES",193
"577","TORNADO",2002,"INJURIES",968
"578","HIGH WINDS",2002,"INJURIES",135
"579","MARINE SQUALL",2002,"INJURIES",50
"580","HURRICANE",2002,"INJURIES",3
"581","OTHER",2002,"INJURIES",166
"582","FIRE",2002,"INJURIES",138
"583","DROUGHT",2002,"INJURIES",1
"584","STORM",2003,"INJURIES",806
"585","FLOOD",2003,"INJURIES",59
"586","HAIL",2003,"INJURIES",121
"587","EXTREME TEMPERATURE",2003,"INJURIES",188
"588","TORNADO",2003,"INJURIES",1087
"589","HIGH WINDS",2003,"INJURIES",150
"590","MARINE SQUALL",2003,"INJURIES",55
"591","WINTER WEATHER",2003,"INJURIES",112
"592","OTHER",2003,"INJURIES",70
"593","FIRE",2003,"INJURIES",251
"594","DROUGHT",2003,"INJURIES",3
"595","HURRICANE",2003,"INJURIES",2
"596","STORM",2004,"INJURIES",542
"597","HAIL",2004,"INJURIES",4
"598","EXTREME TEMPERATURE",2004,"INJURIES",76
"599","FLOOD",2004,"INJURIES",126
"600","HIGH WINDS",2004,"INJURIES",68
"601","WINTER WEATHER",2004,"INJURIES",190
"602","DROUGHT",2004,"INJURIES",5
"603","TORNADO",2004,"INJURIES",396
"604","OTHER",2004,"INJURIES",62
"605","HURRICANE",2004,"INJURIES",802
"606","MARINE SQUALL",2004,"INJURIES",44
"607","FIRE",2004,"INJURIES",63
"608","EXTREME TEMPERATURE",2005,"INJURIES",299
"609","TORNADO",2005,"INJURIES",537
"610","STORM",2005,"INJURIES",576
"611","HIGH WINDS",2005,"INJURIES",42
"612","WINTER WEATHER",2005,"INJURIES",72
"613","HAIL",2005,"INJURIES",8
"614","FLOOD",2005,"INJURIES",39
"615","HURRICANE",2005,"INJURIES",118
"616","MARINE SQUALL",2005,"INJURIES",18
"617","FIRE",2005,"INJURIES",82
"618","DROUGHT",2005,"INJURIES",0
"619","OTHER",2005,"INJURIES",39
"620","TORNADO",2006,"INJURIES",992
"621","STORM",2006,"INJURIES",511
"622","HAIL",2006,"INJURIES",18
"623","FLOOD",2006,"INJURIES",23
"624","EXTREME TEMPERATURE",2006,"INJURIES",1518
"625","HIGH WINDS",2006,"INJURIES",82
"626","WINTER WEATHER",2006,"INJURIES",38
"627","DROUGHT",2006,"INJURIES",5
