"","EVTYPE","yr","outcomes","totalamount"
"561","HAIL",2001,"CROPDMG",69186501.2
"562","TORNADO",2001,"CROPDMG",5410502
"563","FLOOD",2001,"CROPDMG",9592504.15
"564","HIGH WINDS",2001,"CROPDMG",542001.96
"565","FIRE",2001,"CROPDMG",0
"566","WINTER WEATHER",2001,"CROPDMG",60047.85
"567","EXTREME TEMPERATURE",2001,"CROPDMG",300084.03
"568","MARINE SQUALL",2001,"CROPDMG",0
"569","OTHER",2001,"CROPDMG",1e+05
"570","DROUGHT",2001,"CROPDMG",1273.86
"571","HURRICANE",2001,"CROPDMG",0
"572","HAIL",2002,"CROPDMG",47474856.37
"573","STORM",2002,"CROPDMG",16961294.7
"574","EXTREME TEMPERATURE",2002,"CROPDMG",60070.3
"575","FLOOD",2002,"CROPDMG",42979539.5
"576","WINTER WEATHER",2002,"CROPDMG",0
"577","TORNADO",2002,"CROPDMG",799010
"578","HIGH WINDS",2002,"CROPDMG",8351025.2
"579","MARINE SQUALL",2002,"CROPDMG",0
